iter	Passed	Remaining
0	148	148391
1	151	75495
2	153	51034
3	155	38812
4	158	31558
5	171	28449
6	175	24830
7	178	22129
8	181	19934
9	183	18141
10	185	16692
11	190	15684
12	193	14697
13	196	13845
14	199	13104
15	202	12462
16	206	11931
17	208	11384
18	210	10882
19	212	10427
20	214	10010
21	216	9631
22	222	9441
23	227	9259
24	230	8999
25	235	8830
26	238	8606
27	241	8394
28	245	8214
29	248	8042
30	252	7883
31	255	7737
32	257	7552
33	259	7382
34	261	7221
35	263	7067
36	268	6997
37	270	6856
38	272	6723
39	274	6597
40	276	6478
41	282	6454
42	285	6347
43	287	6242
44	289	6141
45	291	6041
46	293	5950
47	295	5865
48	298	5787
49	300	5706
50	302	5626
51	305	5571
52	315	5632
53	318	5581
54	321	5526
55	326	5511
56	331	5485
57	333	5421
58	338	5399
59	341	5353
60	344	5306
61	347	5252
62	349	5204
63	352	5162
64	358	5158
65	362	5129
66	365	5090
67	368	5052
68	371	5013
69	375	4988
70	377	4943
71	380	4900
72	382	4862
73	385	4821
74	388	4788
75	391	4753
76	392	4708
77	396	4684
78	398	4645
79	400	4606
80	402	4568
81	406	4547
82	408	4511
83	412	4500
84	417	4491
85	421	4483
86	425	4463
87	428	4442
88	431	4420
89	435	4402
90	437	4372
91	441	4352
92	444	4331
93	447	4312
94	457	4355
95	460	4339
96	462	4309
97	464	4279
98	468	4266
99	472	4248
100	475	4229
101	478	4211
102	484	4219
103	487	4201
104	490	4182
105	493	4165
106	496	4139
107	501	4139
108	503	4116
109	505	4091
110	507	4067
111	514	4077
112	517	4066
113	520	4043
114	522	4020
115	524	3998
116	526	3977
117	531	3975
118	534	3959
119	537	3944
120	541	3930
121	547	3938
122	550	3923
123	585	4138
124	590	4132
125	596	4136
126	598	4114
127	600	4092
128	604	4081
129	605	4050
130	619	4112
131	623	4097
132	629	4103
133	632	4088
134	639	4100
135	643	4086
136	646	4072
137	648	4052
138	650	4032
139	653	4011
140	655	3991
141	657	3969
142	659	3953
143	660	3925
144	662	3904
145	665	3892
146	667	3874
147	669	3856
148	671	3837
149	676	3832
150	680	3823
151	682	3806
152	684	3789
153	686	3772
154	690	3761
155	692	3748
156	696	3737
157	698	3721
158	701	3710
159	706	3708
160	709	3697
161	712	3686
162	715	3674
163	721	3678
164	726	3675
165	729	3664
166	733	3659
167	737	3650
168	741	3645
169	743	3628
170	745	3611
171	746	3594
172	748	3578
173	750	3562
174	757	3573
175	760	3561
176	763	3549
177	766	3538
178	771	3540
179	774	3529
180	777	3519
181	780	3509
182	786	3512
183	789	3501
184	791	3486
185	793	3471
186	795	3456
187	796	3441
188	799	3431
189	802	3422
190	804	3407
191	806	3392
192	807	3378
193	809	3364
194	812	3356
195	816	3348
196	818	3336
197	820	3323
198	822	3309
199	824	3296
200	825	3282
201	827	3270
202	829	3258
203	831	3245
204	833	3232
205	835	3219
206	838	3211
207	841	3202
208	843	3194
209	849	3194
210	852	3186
211	854	3177
212	857	3167
213	860	3158
214	863	3153
215	866	3144
216	868	3132
217	869	3120
218	874	3119
219	877	3110
220	880	3103
221	882	3091
222	884	3080
223	886	3070
224	889	3062
225	891	3054
226	897	3057
227	900	3049
228	903	3041
229	906	3033
230	909	3026
231	912	3020
232	914	3009
233	916	3000
234	918	2989
235	921	2982
236	923	2973
237	926	2966
238	928	2955
239	933	2955
240	935	2944
241	937	2934
242	939	2927
243	942	2918
244	943	2908
245	950	2911
246	952	2902
247	953	2892
248	956	2886
249	958	2876
250	960	2867
251	963	2859
252	966	2852
253	969	2846
254	975	2849
255	978	2842
256	980	2835
257	983	2828
258	985	2820
259	990	2820
260	993	2811
261	995	2802
262	996	2793
263	998	2784
264	1002	2779
265	1006	2777
266	1009	2770
267	1011	2763
268	1014	2757
269	1020	2759
270	1023	2752
271	1025	2744
272	1027	2735
273	1029	2726
274	1030	2717
275	1034	2714
276	1037	2708
277	1039	2698
278	1040	2689
279	1042	2680
280	1043	2670
281	1045	2661
282	1052	2666
283	1054	2658
284	1056	2650
285	1058	2642
286	1060	2635
287	1069	2644
288	1071	2636
289	1073	2628
290	1075	2620
291	1078	2614
292	1082	2612
293	1084	2604
294	1091	2609
295	1093	2601
296	1096	2595
297	1098	2588
